"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.715421829E2,6.046256559E1,2.693192963E1,3.633250684E0,1.373805450E0,9.635461510E1,8.208602842E0,8.376953647E0
1.725421618E2,6.046256597E1,2.693194410E1,3.993022459E0,8.494352558E-1,9.523468123E1,8.258280137E0,8.803426792E0
1.735421411E2,6.046256217E1,2.693196107E1,4.422129980E0,6.575581927E-1,1.030219771E2,8.343561716E0,8.907555154E0
1.745421226E2,6.046255323E1,2.693200047E1,3.881544070E0,1.216203564E0,1.116914078E2,8.384741907E0,9.022483596E0
1.755421041E2,6.046254368E1,2.693202734E1,3.812696100E0,1.209357004E0,1.144529941E2,8.431222495E0,9.167258355E0
1.765420867E2,6.046254534E1,2.693204798E1,3.473579887E0,9.509717233E-1,1.008766770E2,8.441494427E0,9.258471642E0
1.775420698E2,6.046254837E1,2.693206524E1,2.703625619E0,7.798850080E-1,8.360084484E1,8.406847872E0,9.233812622E0
1.785420538E2,6.046254898E1,2.693209295E1,2.714650777E0,9.712372731E-1,7.848630199E1,8.382447804E0,9.159473633E0
1.795420380E2,6.046255098E1,2.693211624E1,3.193273801E0,1.024008384E0,8.119177269E1,8.383513108E0,8.986008480E0
1.805420238E2,6.046254605E1,2.693213332E1,2.431670924E0,8.516246627E-1,9.260338006E1,8.321972684E0,8.818767968E0
1.815420097E2,6.046254401E1,2.693217034E1,2.920311218E0,1.212014481E0,9.429893755E1,8.362081020E0,9.041503572E0
1.825419962E2,6.046253709E1,2.693219761E1,2.583515917E0,1.375774026E0,1.034817695E2,8.308910365E0,8.725235954E0
1.835419824E2,6.046253218E1,2.693222466E1,2.579030727E0,1.473031102E0,1.058616173E2,8.348192299E0,8.410536324E0
1.845419691E2,6.046252737E1,2.693225433E1,2.599676641E0,1.551294970E0,1.070583801E2,8.351643104E0,9.380845405E0
1.855419577E2,6.046252456E1,2.693228937E1,2.752835135E0,1.599773269E0,1.038613486E2,8.342269450E0,8.906757212E0
1.865419449E2,6.046252126E1,2.693231921E1,2.830717052E0,1.576527492E0,1.035620463E2,8.359942501E0,8.786874720E0
1.875419335E2,6.046251538E1,2.693234604E1,2.502703039E0,1.563169502E0,1.087865656E2,8.371581289E0,8.719198194E0
1.885419228E2,6.046251359E1,2.693237556E1,2.112433915E0,1.544911695E0,1.042900089E2,8.310314408E0,8.708907575E0
1.895419118E2,6.046251029E1,2.693240586E1,2.215967747E0,1.575376243E0,1.050852047E2,8.294185960E0,8.456545962E0
1.905419005E2,6.046250656E1,2.693243641E1,2.123073435E0,1.602675441E0,1.047700004E2,8.258707114E0,8.425899975E0
1.915418917E2,6.046250337E1,2.693246688E1,2.356539061E0,1.587156049E0,1.036069751E2,8.265502760E0,8.264528620E0
1.925418807E2,6.046249571E1,2.693249623E1,2.836355518E0,1.587106541E0,1.040818685E2,8.253139973E0,8.141456282E0
1.935418712E2,6.046248984E1,2.693252377E1,2.689388798E0,1.585511809E0,1.085579401E2,8.333598478E0,8.079103190E0
1.945418619E2,6.046248536E1,2.693255212E1,2.635445343E0,1.591633154E0,1.093196451E2,8.274142765E0,7.976837748E0
1.955418524E2,6.046247978E1,2.693258143E1,2.697189898E0,1.580200723E0,1.130415345E2,8.320399522E0,8.015956204E0
1.965418441E2,6.046248049E1,2.693261349E1,2.509799433E0,1.570280586E0,1.049088934E2,8.367529327E0,8.101930424E0
1.975418351E2,6.046247781E1,2.693264308E1,2.672269926E0,1.572628305E0,1.061096417E2,8.403086580E0,8.120133676E0
1.985418265E2,6.046247669E1,2.693267510E1,2.935983919E0,1.604880456E0,1.035453664E2,8.397651446E0,8.139265690E0
1.995418186E2,6.046247711E1,2.693270286E1,2.563011118E0,1.526115203E0,1.000256074E2,8.369418723E0,8.090937325E0
2.005418094E2,6.046247338E1,2.693273076E1,2.502768286E0,1.526637966E0,1.017512629E2,8.340437692E0,8.193317568E0
2.015418013E2,6.046247068E1,2.693276111E1,2.885134797E0,1.588203729E0,1.042752614E2,8.258517044E0,8.362072202E0
