"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.573026417E0,3.564440369E-1,1.994158107E0,2.169914008E0
1.583005417E0,2.990753779E-1,1.829524781E0,2.277008686E0
1.592985417E0,2.727455851E-1,1.821670508E0,2.280192495E0
1.602964417E0,4.909925987E-1,3.469173512E-1,2.823163771E0
1.612944417E0,4.856551871E-1,3.279416746E-1,2.832257361E0
1.622923417E0,3.242595002E-1,-1.071520102E0,2.125339513E0
1.632903417E0,1.985231309E-1,-1.517314455E0,1.297847401E0
1.642882417E0,2.183814265E-1,-1.550452673E0,1.314780938E0
1.652862417E0,-1.494286110E-1,-1.618661320E0,-1.326049107E-1
1.662841417E0,-1.510788231E-1,-1.632385612E0,-1.257274157E-1
1.672821417E0,-3.209138330E-2,-1.036268993E0,-2.670861930E-1
1.682800417E0,2.957306244E-1,-7.836312702E-1,6.828635716E-1
1.692780417E0,2.475187416E-1,-7.692132059E-1,6.748780292E-1
1.702759417E0,8.640510969E-1,-6.711299640E-1,2.513796946E0
1.712739417E0,8.387113839E-1,-6.614756262E-1,2.508820966E0
1.722718417E0,1.061150723E0,-1.205686220E0,2.809219916E0
1.732698417E0,1.074245709E0,-1.450926045E0,2.212752464E0
1.742677417E0,1.126985840E0,-1.465477134E0,2.220603520E0
1.752657417E0,7.977319770E-1,-1.547239335E0,-2.315684509E-1
1.762636417E0,8.741631255E-1,-1.572380608E0,-2.168457466E-1
1.772616417E0,6.224575947E-1,-1.433518300E0,-2.507024701E0
1.782595417E0,6.804059869E-1,-1.328270172E0,-3.406824067E0
1.792575417E0,6.183543111E-1,-1.108782946E0,-4.071432046E0
1.802554417E0,6.344488453E-1,-8.171641749E-1,-4.444348750E0
1.812534417E0,6.610837166E-1,-8.470726830E-1,-4.426920539E0
1.822513417E0,6.923924135E-1,-4.758999118E-1,-4.368755946E0
1.832493417E0,6.888432267E-1,-4.630749214E-1,-4.078731710E0
1.842472417E0,6.940519264E-1,-4.714238682E-1,-4.073899571E0
1.852452417E0,6.203784710E-1,-4.674410373E-1,-3.685184276E0
1.862432417E0,5.035287001E-1,-4.231381461E-1,-3.269781119E0
1.872411417E0,3.530798049E-1,-4.366916996E-1,-2.598725415E0
1.882391417E0,4.075556087E-1,-3.975252950E-1,-2.354862608E0
1.892370417E0,4.122422983E-1,-3.768974876E-1,-2.365499278E0
1.902350417E0,5.876254387E-1,2.961176187E-2,-1.828802649E0
1.912329417E0,5.874120884E-1,4.843453377E-2,-1.838702570E0
1.922309417E0,7.146788567E-1,7.474533775E-1,-1.153008946E0
1.932288417E0,7.353432092E-1,1.119063813E0,-9.372952205E-1
1.942268417E0,7.395741083E-1,1.124656382E0,-9.399112648E-1
1.952247417E0,7.434917428E-1,1.533340504E0,-4.964256853E-1
1.962227417E0,7.572178622E-1,1.531943896E0,-4.947317469E-1
1.972206417E0,6.819620041E-1,1.530529162E0,-1.152877969E-1
1.982186417E0,6.836288991E-1,1.381160869E0,-1.448004484E-2
1.992165417E0,6.535601042E-1,1.232194864E0,-7.082732320E-3
2.002145417E0,6.803714883E-1,1.098150369E0,-3.631471753E-2
2.012124417E0,7.009555878E-1,1.086399512E0,-2.843208611E-2
2.022104417E0,8.405164924E-1,1.172635418E0,2.132438618E-1
2.032083417E0,8.447522154E-1,1.363950174E0,4.042706430E-1
2.042063417E0,8.543070775E-1,1.353025821E0,4.109113258E-1
2.052042417E0,4.622761186E-1,1.478528412E0,1.082969828E0
2.062022417E0,4.697617972E-1,1.471937138E0,1.087162281E0
2.072001417E0,3.299697813E-1,9.344894341E-1,2.108510642E0
2.081981417E0,4.055676285E-1,5.597902071E-1,2.544204807E0
2.091960417E0,4.347381449E-1,5.585134676E-1,2.547691501E0
2.101940417E0,4.165573242E-1,3.954448557E-1,2.533783314E0
2.111919417E0,4.681391948E-1,3.918686986E-1,2.541155484E0
2.121899417E0,3.865389615E-2,1.062174498E0,1.512352508E0
2.131878417E0,-3.467453700E-1,1.578921888E0,9.923561114E-1
2.141858417E0,-7.447559839E-1,2.076770201E0,4.963116646E-1
2.151837417E0,-8.744481041E-1,2.207032717E0,-1.220372379E-2
2.161817417E0,-8.587082036E-1,2.206450042E0,-9.794670939E-3
2.171796417E0,-1.028528449E0,1.896751096E0,4.251925653E-1
2.181776417E0,-1.148704738E0,1.342924464E0,1.559402128E0
2.191755417E0,-1.375953339E0,8.072309250E-1,3.014351351E0
2.201735417E0,-1.251581746E0,3.417419806E-1,3.909123280E0
2.211714417E0,-1.296592004E0,3.470015511E-1,3.901248250E0
2.221694417E0,-9.141212431E-1,-5.851992828E-1,4.066140901E0
2.231673417E0,-8.052413367E-1,-9.827558604E-1,3.649945446E0
2.241653417E0,-9.911871068E-1,-1.059973898E0,3.004525105E0
2.251632417E0,-1.154570664E0,-1.091800000E0,1.593028881E0
2.261612417E0,-1.131614642E0,-1.106712154E0,1.603513523E0
2.271591417E0,-1.234899932E0,-1.251279299E0,-5.329970956E-1
2.281571417E0,-1.367851875E0,-1.245408110E0,-1.144022945E0
2.291550417E0,-1.441740654E0,-1.363138581E0,-1.320236975E0
2.301530417E0,-1.437887047E0,-1.577557148E0,-1.323958728E0
2.311509417E0,-1.480366630E0,-1.565321265E0,-1.334922842E0
2.321489417E0,-1.385877526E0,-1.795717349E0,-1.271951253E0
2.331468417E0,-9.892395455E-1,-2.144389742E0,-1.111244624E0
2.341448417E0,-7.417304883E-1,-2.070915384E0,-1.334027633E0
2.351427417E0,-7.788798228E-1,-2.009057105E0,-1.368977610E0
2.361407417E0,-5.225682941E-1,-1.854999345E0,-1.670799188E0
2.371386417E0,-4.594274282E-1,-1.463270102E0,-2.472921401E0
2.381366417E0,-5.362116755E-1,-1.094019603E0,-2.788158830E0
2.391345417E0,-7.261497782E-1,-7.909581238E-1,-3.147153313E0
2.401325417E0,-7.910285097E-1,-5.016270760E-1,-3.576818413E0
2.411304417E0,-8.823100510E-1,-3.707497251E-1,-3.637820660E0
2.421284417E0,-6.502641018E-1,-1.793843901E-1,-3.716829992E0
2.431263417E0,-4.339182191E-1,-2.706532869E-1,-3.565649647E0
2.441243417E0,-2.320794610E-1,-5.128809196E-1,-3.159340664E0
2.451221917E0,-1.667430388E-2,-6.043889675E-1,-2.337591687E0
2.461201917E0,-1.982126803E-1,-2.997519556E-1,-2.426332541E0
2.471180917E0,4.590705288E-1,-2.432025097E-1,7.877345538E-1
2.481160917E0,4.225901889E-1,-7.256380007E-2,1.830608854E0
